Number2;Item;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese2
0031;Soda Pop;Sprudel;Soda Cool;Refresco;Gassosa;サイコソーダ;미네랄사이다;劲爽汽水;勁爽汽水
0032;Lemonade;Limonade;Limonade;Limonada;Lemonsucco;ミックスオレ;후르츠밀크;果汁牛奶;果汁牛奶
0033;Moomoo Milk;Kuhmuh-Milch;Lait Meumeu;Leche Mu-mu;Latte Mumu;モーモーミルク;튼튼밀크;哞哞鲜奶;哞哞鮮奶
0034;Energy Powder;Energiestaub;Poudrénergie;Polvo Energía;Polvenergia;ちからのこな;힘의가루;元气粉;元氣粉
0035;Energy Root;Kraftwurzel;Racinénergie;Raíz Energía;Radicenergia;ちからのねっこ;힘의뿌리;元气根;元氣根
0036;Heal Powder;Heilpuder;Poudre Soin;Polvo Curación;Polvocura;ばんのうごな;만능가루;万能粉;萬能粉
0037;Revival Herb;Vitalkraut;Herbe Rappel;Hierba Revivir;Vitalerba;ふっかつそう;부활초;复活草;復活草
0038;Ether;Äther;Huile;Éter;Etere;ピーピーエイド;PP에이드;ＰＰ单项小补剂;ＰＰ單項小補劑
0039;Max Ether;Top-Äther;Huile Max;Éter Máximo;Etere max;ピーピーリカバー;PP회복;ＰＰ单项全补剂;ＰＰ單項全補劑
0040;Elixir;Elixier;Élixir;Elixir;Elisir;ピーピーエイダー;PP에이더;ＰＰ多项小补剂;ＰＰ多項小補劑
0041;Max Elixir;Top-Elixier;Élixir Max;Elixir Máximo;Elisir max;ピーピーマックス;PP맥스;ＰＰ多项全补剂;ＰＰ多項全補劑
0042;Lava Cookie;Lavakeks;Lava Cookie;Galleta Lava;Lavottino;フエンせんべい;용암전병;釜炎仙贝;釜炎仙貝
0043;Berry Juice;Beerensaft;Jus de Baie;Zumo de Baya;Succo di bacca;きのみジュース;나무열매쥬스;树果汁;樹果汁
0044;Sacred Ash;Zauberasche;Cendre Sacrée;Ceniza Sagrada;Cenere magica;せいなるはい;성스러운분말;圣灰;聖灰
0045;HP Up;KP-Plus;PV Plus;Más PS;PS-su;マックスアップ;맥스업;ＨＰ增强剂;ＨＰ增強劑
0046;Protein;Protein;Protéine;Proteína;Proteina;タウリン;타우린;攻击增强剂;攻擊增強劑
0047;Iron;Eisen;Fer;Hierro;Ferro;ブロムヘキシン;사포닌;防御增强剂;防禦增強劑
0048;Carbos;Carbon;Carbone;Carburante;Carburante;インドメタシン;알칼로이드;速度增强剂;速度增強劑
0049;Calcium;Kalzium;Calcium;Calcio;Calcio;リゾチウム;리보플라빈;特攻增强剂;特攻增強劑
0050;Rare Candy;Sonderbonbon;Super Bonbon;Caramelo Raro;Caramella rara;ふしぎなアメ;이상한사탕;神奇糖果;神奇糖果
0051;PP Up;AP-Plus;PP Plus;Más PP;PP-su;ポイントアップ;포인트업;ＰＰ提升剂;ＰＰ提升劑
0052;Zinc;Zink;Zinc;Zinc;Zinco;キトサン;키토산;特防增强剂;特防增強劑
0053;PP Max;AP-Top;PP Max;PP Máximos;PP-max;ポイントマックス;포인트맥스;ＰＰ极限提升剂;ＰＰ極限提升劑
0054;Old Gateau;Spezialität;Vieux Gâteau;Barrita Plus;Dolce gateau;もりのヨウカン;숲의양갱;森之羊羹;森之羊羹
0055;Guard Spec.;Megablock;Garde-Stats;Protección X;Superguardia;エフェクトガード;이펙트가드;能力防守;能力防守
0056;Dire Hit;X-Volltreffer;Muscle +;Crítico X;Supercolpo;クリティカット;크리티컬커터;要害攻击;要害攻擊
0057;X Attack;X-Angriff;Attaque +;Ataque X;Attacco X;プラスパワー;플러스파워;力量强化;力量強化
0058;X Defense;X-Verteidigung;Défense +;Defensa X;Difesa X;ディフェンダー;디펜드업;防御强化;防禦強化
0059;X Speed;X-Initiative;Vitesse +;Velocidad X;Velocità X;スピーダー;스피드업;速度强化;速度強化
0060;X Accuracy;X-Genauigkeit;Précision +;Precisión X;Precisione X;ヨクアタール;잘-맞히기;命中强化;命中強化
0061;X Sp. Atk;X-Sp.-Ang.;Atq. Spé. +;Ataque Especial X;Attacco Speciale X;スペシャルアップ;스페셜업;特攻强化;特攻強化
0062;X Sp. Def;X-Sp.-Vert.;Déf. Spé. +;Defensa Especial X;Difesa Speciale X;スペシャルガード;스페셜가드;特防强化;特防強化
0063;Poké Doll;Poképuppe;Poké Poupée;Pokémuñeco;Pokébambola;ピッピにんぎょう;삐삐인형;皮皮玩偶;皮皮玩偶
0064;Fluffy Tail;Eneco-Rute;Queue Skitty;Cola Skitty;Coda Skitty;エネコのシッポ;에나비꼬리;向尾喵的尾巴;向尾喵的尾巴
0065;Blue Flute;Blaue Flöte;Flûte Bleue;Flauta Azul;Flauto blu;あおいビードロ;파랑비드로;蓝色玻璃哨;藍色玻璃哨
0066;Yellow Flute;Gelbe Flöte;Flûte Jaune;Flauta Amarilla;Flauto giallo;きいろビードロ;노랑비드로;黄色玻璃哨;黃色玻璃哨
0067;Red Flute;Rote Flöte;Flûte Rouge;Flauta Roja;Flauto rosso;あかいビードロ;빨강비드로;红色玻璃哨;紅色玻璃哨
0068;Black Flute;Schwarze Flöte;Flûte Noire;Flauta Negra;Flauto nero;くろいビードロ;검정비드로;黑色玻璃哨;黑色玻璃哨
0069;White Flute;Weiße Flöte;Flûte Blanche;Flauta Blanca;Flauto bianco;しろいビードロ;하양비드로;白色玻璃哨;白色玻璃哨
0070;Shoal Salt;Küstensalz;Sel Tréfonds;Sal Cardumen;Sale ondoso;あさせのしお;여울소금;浅滩海盐;淺灘海鹽
0071;Shoal Shell;Küstenschale;CoquilleTréfonds;Concha Cardumen;Gusciondoso;あさせのかいがら;여울조개껍질;浅滩贝壳;淺灘貝殼
0072;Red Shard;Purpurstück;Tesson Rouge;Parte Roja;Coccio rosso;あかいかけら;빨강조각;红色碎片;紅色碎片
0073;Blue Shard;Indigostück;Tesson Bleu;Parte Azul;Coccio blu;あおいかけら;파랑조각;蓝色碎片;藍色碎片
0074;Yellow Shard;Gelbstück;Tesson Jaune;Parte Amarilla;Coccio giallo;きいろいかけら;노랑조각;黄色碎片;黃色碎片
0075;Green Shard;Grünstück;Tesson Vert;Parte Verde;Coccio verde;みどりのかけら;초록조각;绿色碎片;綠色碎片
0076;Super Repel;Superschutz;Super Repousse;Superrepelente;Superrepellente;シルバースプレー;실버스프레이;白银喷雾;白銀噴霧
0077;Max Repel;Top-Schutz;Repousse Max;Repelente Máximo;Repellente max;ゴールドスプレー;골드스프레이;黄金喷雾;黃金噴霧
0078;Escape Rope;;;;;;;;
0079;Repel;Schutz;Repousse;Repelente;Repellente;むしよけスプレー;벌레회피스프레이;除虫喷雾;除蟲噴霧
0080;Sun Stone;Sonnenstein;Pierre Soleil;Piedra Solar;Pietrasolare;たいようのいし;태양의돌;日之石;日之石
0081;Moon Stone;Mondstein;Pierre Lune;Piedra Lunar;Pietralunare;つきのいし;달의돌;月之石;月之石
0082;Fire Stone;Feuerstein;Pierre Feu;Piedra Fuego;Pietrafocaia;ほのおのいし;불꽃의돌;火之石;火之石
0083;Thunder Stone;Donnerstein;Pierre Foudre;Piedra Trueno;Pietratuono;かみなりのいし;천둥의돌;雷之石;雷之石
0084;Water Stone;Wasserstein;Pierre Eau;Piedra Agua;Pietraidrica;みずのいし;물의돌;水之石;水之石
0085;Leaf Stone;Blattstein;Pierre Plante;Piedra Hoja;Pietrafoglia;リーフのいし;리프의돌;叶之石;葉之石
0086;Tiny Mushroom;Minipilz;Petit Champi;Miniseta;Minifungo;ちいさなキノコ;작은버섯;小蘑菇;小蘑菇
0087;Big Mushroom;Riesenpilz;Gros Champi;Seta Grande;Grande fungo;おおきなキノコ;큰버섯;大蘑菇;大蘑菇
0088;Pearl;Perle;Perle;Perla;Perla;しんじゅ;진주;珍珠;珍珠
0089;Big Pearl;Riesenperle;Grande Perle;Perla Grande;Grande perla;おおきなしんじゅ;큰진주;大珍珠;大珍珠
0090;Stardust;Sternenstaub;Poussière Étoile;Polvo Estelar;Polvostella;ほしのすな;별의모래;星星沙子;星星沙子
0091;Star Piece;Sternenstück;Morceau d'Étoile;Trozo Estrella;Pezzo stella;ほしのかけら;별의조각;星星碎片;星星碎片
0092;Nugget;Nugget;Pépite;Pepita;Pepita;きんのたま;금구슬;金珠;金珠
0093;Heart Scale;Herzschuppe;Écaille Cœur;Escama Corazón;Squama cuore;ハートのウロコ;하트비늘;心之鳞片;心之鱗片
0094;Honey;Honig;Miel;Miel;Miele;あまいミツ;달콤한꿀;甜甜蜜;甜甜蜜
0095;Growth Mulch;Wachsmulch;Fertipousse;Abono Rápido;Fertilrapido;すくすくこやし;무럭무럭비료;速速肥;速速肥
0096;Damp Mulch;Feuchtmulch;Fertihumide;Abono Lento;Fertilidro;じめじめこやし;축축이비료;湿湿肥;濕濕肥
0097;Stable Mulch;Stabilmulch;Fertistable;Abono Fijador;Fertilsaldo;ながながこやし;오래오래비료;久久肥;久久肥
0098;Gooey Mulch;Neumulch;Fertiglu;Abono Brote;Fertilcolla;ねばねばこやし;끈적끈적비료;粘粘肥;黏黏肥
0099;Root Fossil;Wurzelfossil;Fossile Racine;Fósil Raíz;Radifossile;ねっこのカセキ;뿌리화석;根状化石;根狀化石
0100;Claw Fossil;Klauenfossil;Fossile Griffe;Fósil Garra;Fossilunghia;ツメのカセキ;발톱화석;爪子化石;爪子化石
0101;Helix Fossil;Helixfossil;Nautile;Fósil Hélix;Helixfossile;かいのカセキ;조개화석;贝壳化石;貝殼化石
0102;Dome Fossil;Domfossil;Fossile Dôme;Fósil Domo;Domofossile;こうらのカセキ;껍질화석;甲壳化石;甲殼化石
0103;Old Amber;Altbernstein;Vieil Ambre;Ámbar Viejo;Ambra antica;ひみつのコハク;비밀의호박;秘密琥珀;秘密琥珀
0104;Armor Fossil;Panzerfossil;Fossile Armure;Fósil Coraza;Fossilscudo;たてのカセキ;방패의화석;盾甲化石;盾甲化石
0105;Skull Fossil;Kopffossil;Fossile Crâne;Fósil Cráneo;Fossilcranio;ずがいのカセキ;두개의화석;头盖化石;頭蓋化石
0106;Rare Bone;Steinknochen;Os Rare;Hueso Raro;Osso raro;きちょうなホネ;귀중한뼈;贵重骨头;貴重骨頭
0107;Shiny Stone;Leuchtstein;Pierre Éclat;Piedra Día;Pietrabrillo;ひかりのいし;빛의돌;光之石;光之石
0108;Dusk Stone;Finsterstein;Pierre Nuit;Piedra Noche;Neropietra;やみのいし;어둠의돌;暗之石;暗之石
0109;Dawn Stone;Funkelstein;Pierre Aube;Piedra Alba;Pietralbore;めざめいし;각성의돌;觉醒之石;覺醒之石
0110;Oval Stone;Ovaler Stein;Pierre Ovale;Piedra Oval;Pietraovale;まんまるいし;동글동글돌;浑圆之石;渾圓之石
0111;Odd Keystone;Spiritkern;Clé de Voûte;Piedra Espíritu;Roccianima;かなめいし;쐐기돌;楔石;楔石
0112;Griseous Orb;Platinum-Orb;Orbe Platiné;Griseosfera;Grigiosfera;はっきんだま;백금옥;白金宝珠;白金寶珠
0113;Tea;;;;;;;;
0114;???;???;???;(?);???;？？？;???;？？？;？？？
0115;Autograph;;;;;;;;
0116;Douse Drive;Aquamodul;Module Aqua;HidroROM;Idromodulo;アクアカセット;아쿠아카세트;水流卡带;水流卡帶
0117;Shock Drive;Blitzmodul;Module Choc;FulgoROM;Voltmodulo;イナズマカセット;번개카세트;闪电卡带;閃電卡帶
0118;Burn Drive;Flammenmodul;Module Pyro;PiroROM;Piromodulo;ブレイズカセット;블레이즈카세트;火焰卡带;火焰卡帶
0119;Chill Drive;Gefriermodul;Module Cryo;CrioROM;Gelomodulo;フリーズカセット;프리즈카세트;冰冻卡带;冰凍卡帶
0120;???;???;???;(?);???;？？？;???;？？？;？？？
0121;Pokémon Box Link;;;;;;;;
0122;Medicine Pocket;;;;;;;;
0123;TM Case;;;;;;;;
0124;Candy Jar;;;;;;;;
0125;Power-Up Pocket;;;;;;;;
0126;Clothing Trunk;;;;;;;;
0127;Catching Pocket;;;;;;;;
0128;Battle Pocket;;;;;;;;
0129;???;???;???;(?);???;？？？;???;？？？;？？？
0130;???;???;???;(?);???;？？？;???;？？？;？？？
0131;???;???;???;(?);???;？？？;???;？？？;？？？
0132;???;???;???;(?);???;？？？;???;？？？;？？？
0133;???;???;???;(?);???;？？？;???;？？？;？？？
0134;Sweet Heart;Herzkonfekt;Chococœur;Corazón Dulce;Dolcecuore;ハートスイーツ;하트스위트;心形甜点;心形甜點
0135;Adamant Orb;Adamant-Orb;Orbe Adamant;Diamansfera;Adamasfera;こんごうだま;금강옥;金刚宝珠;金剛寶珠
0136;Lustrous Orb;Weiß-Orb;Orbe Perlé;Lustresfera;Splendisfera;しらたま;백옥;白玉宝珠;白玉寶珠
0137;Greet Mail;Grußbrief;Lettre Salut;Carta Inicial;Messaggio Inizio;はじめてメール;첫메일;初次邮件;初次郵件
0138;Favored Mail;Faiblebrief;Lettre Fan;Carta Favoritos;Messaggio TVB;だいすきメール;애호메일;喜爱邮件;喜愛郵件
0139;RSVP Mail;Einladebrief;Lettre Invit;Carta Invitar;Messaggio Invito;おさそいメール;권유메일;邀请邮件;邀請郵件
0140;Thanks Mail;Dankesbrief;Lettre Merci;Carta Gracias;Messaggio Grazie;かんしゃメール;감사메일;感谢邮件;感謝郵件
0141;Inquiry Mail;Fragebrief;Lettre Demande;Carta Pregunta;Messaggio Chiedi;しつもんメール;질문메일;询问邮件;詢問郵件
0142;Like Mail;Insiderbrief;Lettre Avis;Carta Gustos;Messaggio Consiglio;おすすめメール;추천메일;推荐邮件;推薦郵件
0143;Reply Mail;Rückbrief;Lettre Réponse;Carta Respuesta;Messaggio Risposta;おかえしメール;답장메일;回复邮件;回覆郵件
0144;Bridge Mail S;Brückbrief H;Lettre Pont S;Carta Puente S;Messaggio Ponte F;ブリッジメールＳ;브리지메일S;桥梁邮件Ｓ;橋梁郵件Ｓ
0145;Bridge Mail D;Brückbrief M;Lettre Pont Y;Carta Puente F;Messaggio Ponte L;ブリッジメールＨ;브리지메일M;桥梁邮件Ｈ;橋梁郵件Ｈ
0146;Bridge Mail T;Brückbrief Z;Lettre Pont F;Carta Puente A;Messaggio Ponte P;ブリッジメールＣ;브리지메일C;桥梁邮件Ｃ;橋梁郵件Ｃ
0147;Bridge Mail V;Brückbrief D;Lettre Pont H;Carta Puente V;Messaggio Ponte V;ブリッジメールＶ;브리지메일V;桥梁邮件Ｖ;橋梁郵件Ｖ
0148;Bridge Mail M;Brückbrief W;Lettre Pont I;Carta Puente P;Messaggio Ponte M;ブリッジメールＷ;브리지메일W;桥梁邮件Ｗ;橋梁郵件Ｗ
0149;Cheri Berry;Amrenabeere;Baie Ceriz;Baya Zreza;Baccaliegia;クラボのみ;버치열매;樱子果;櫻子果
0150;Chesto Berry;Maronbeere;Baie Maron;Baya Atania;Baccastagna;カゴのみ;유루열매;零余果;零餘果
0151;Pecha Berry;Pirsifbeere;Baie Pêcha;Baya Meloc;Baccapesca;モモンのみ;복슝열매;桃桃果;桃桃果
0152;Rawst Berry;Fragiabeere;Baie Fraive;Baya Safre;Baccafrago;チーゴのみ;복분열매;莓莓果;莓莓果
0153;Aspear Berry;Wilbirbeere;Baie Willia;Baya Perasi;Baccaperina;ナナシのみ;배리열매;利木果;利木果
0154;Leppa Berry;Jonagobeere;Baie Mepo;Baya Zanama;Baccamela;ヒメリのみ;과사열매;苹野果;蘋野果
0155;Oran Berry;Sinelbeere;Baie Oran;Baya Aranja;Baccarancia;オレンのみ;오랭열매;橙橙果;橙橙果
0156;Persim Berry;Persimbeere;Baie Kika;Baya Caquic;Baccaki;キーのみ;시몬열매;柿仔果;柿仔果
0157;Lum Berry;Prunusbeere;Baie Prine;Baya Ziuela;Baccaprugna;ラムのみ;리샘열매;木子果;木子果
0158;Sitrus Berry;Tsitrubeere;Baie Sitrus;Baya Zidra;Baccacedro;オボンのみ;자뭉열매;文柚果;文柚果
0159;Figy Berry;Giefebeere;Baie Figuy;Baya Higog;Baccafico;フィラのみ;무화열매;勿花果;勿花果
0160;Wiki Berry;Wikibeere;Baie Wiki;Baya Wiki;Baccakiwi;ウイのみ;위키열매;异奇果;異奇果
0161;Mago Berry;Magobeere;Baie Mago;Baya Ango;Baccamango;マゴのみ;마고열매;芒芒果;芒芒果
0162;Aguav Berry;Gauvebeere;Baie Gowav;Baya Guaya;Baccaguava;バンジのみ;아바열매;乐芭果;樂芭果
0163;Iapapa Berry;Yapabeere;Baie Papaya;Baya Pabaya;Baccapaia;イアのみ;파야열매;芭亚果;芭亞果
0164;Razz Berry;Himmihbeere;Baie Framby;Baya Frambu;Baccalampon;ズリのみ;라즈열매;蔓莓果;蔓莓果
0165;Bluk Berry;Morbbeere;Baie Remu;Baya Oram;Baccamora;ブリーのみ;블리열매;墨莓果;墨莓果
0166;Nanab Berry;Nanabbeere;Baie Nanab;Baya Latano;Baccabana;ナナのみ;나나열매;蕉香果;蕉香果
0167;Wepear Berry;Nirbebeere;Baie Repoi;Baya Peragu;Baccapera;セシナのみ;서배열매;西梨果;西梨果
0168;Pinap Berry;Sananabeere;Baie Nanana;Baya Pinia;Baccananas;パイルのみ;파인열매;凰梨果;凰梨果
0169;Pomeg Berry;Granabeere;Baie Grena;Baya Grana;Baccagrana;ザロクのみ;유석열매;榴石果;榴石果
0170;Kelpsy Berry;Setangbeere;Baie Alga;Baya Algama;Baccalga;ネコブのみ;시마열매;藻根果;藻根果
0171;Qualot Berry;Qualotbeere;Baie Qualot;Baya Ispero;Baccaloquat;タポルのみ;파비열매;比巴果;比巴果
0172;Hondew Berry;Honmelbeere;Baie Lonme;Baya Meluce;Baccamelon;ロメのみ;로매열매;哈密果;哈密果
0173;Grepa Berry;Labrusbeere;Baie Résin;Baya Uvav;Baccauva;ウブのみ;또뽀열매;萄葡果;萄葡果
0174;Tamato Berry;Tamotbeere;Baie Tamato;Baya Tamate;Baccamodoro;マトマのみ;토망열매;茄番果;茄番果
0175;Cornn Berry;Saimbeere;Baie Siam;Baya Mais;Baccavena;モコシのみ;수숙열매;玉黍果;玉黍果
0176;Magost Berry;Magostbeere;Baie Mangou;Baya Aostan;Baccagostan;ゴスのみ;고스티열매;岳竹果;岳竹果
0177;Rabuta Berry;Rabutabeere;Baie Rabuta;Baya Rautan;Baccambutan;ラブタのみ;라부탐열매;茸丹果;茸丹果
0178;Nomel Berry;Tronzibeere;Baie Tronci;Baya Monli;Baccalemon;ノメルのみ;노멜열매;檬柠果;檬檸果
0179;Spelon Berry;Kiwanbeere;Baie Kiwan;Baya Wikano;Baccamelos;ノワキのみ;메호키열매;刺角果;刺角果
0180;Pamtre Berry;Pallmbeere;Baie Palma;Baya Plama;Baccapalma;シーヤのみ;자야열매;椰木果;椰木果
0181;Watmel Berry;Wasmelbeere;Baie Stekpa;Baya Sambia;Baccacomero;カイスのみ;슈박열매;瓜西果;瓜西果
0182;Durin Berry;Durinbeere;Baie Durin;Baya Rudion;Baccadurian;ドリのみ;두리열매;金枕果;金枕果
0183;Belue Berry;Myrtilbeere;Baie Myrte;Baya Andano;Baccartillo;ベリブのみ;루베열매;靛莓果;靛莓果
0184;Occa Berry;Koakobeere;Baie Chocco;Baya Caoca;Baccacao;オッカのみ;오카열매;巧可果;巧可果
0185;Passho Berry;Foepasbeere;Baie Pocpoc;Baya Pasio;Baccapasflo;イトケのみ;꼬시개열매;千香果;千香果
0186;Wacan Berry;Kerzalbeere;Baie Parma;Baya Gualot;Baccaparmen;ソクノのみ;초나열매;烛木果;燭木果
0187;Rindo Berry;Grindobeere;Baie Ratam;Baya Tamar;Baccarindo;リンドのみ;린드열매;罗子果;羅子果
0188;Yache Berry;Kiroyabeere;Baie Nanone;Baya Rimoya;Baccamoya;ヤチェのみ;플카열매;番荔果;番荔果
0189;Chople Berry;Rospelbeere;Baie Pomroz;Baya Pomaro;Baccarosmel;ヨプのみ;로플열매;莲蒲果;蓮蒲果
0190;Kebia Berry;Grarzbeere;Baie Kébia;Baya Kebia;Baccakebia;ビアーのみ;으름열매;通通果;通通果
0191;Shuca Berry;Schukebeere;Baie Jouca;Baya Acardo;Baccanaca;シュカのみ;슈캐열매;腰木果;腰木果
0192;Coba Berry;Kobabeere;Baie Cobaba;Baya Kouba;Baccababa;バコウのみ;바코열매;棱瓜果;稜瓜果
0193;Payapa Berry;Pyapabeere;Baie Yapap;Baya Payapa;Baccapayapa;ウタンのみ;야파열매;福禄果;福祿果
0194;Tanga Berry;Tanigabeere;Baie Panga;Baya Yecana;Baccaitan;タンガのみ;리체열매;扁樱果;扁櫻果
0195;Charti Berry;Chiaribeere;Baie Charti;Baya Alcho;Baccaciofo;ヨロギのみ;루미열매;草蚕果;草蠶果
0196;Kasib Berry;Zitarzbeere;Baie Sédra;Baya Drasi;Baccacitrus;カシブのみ;수불열매;佛柑果;佛柑果
0197;Haban Berry;Terirobeere;Baie Fraigo;Baya Anjiro;Baccahaban;ハバンのみ;하반열매;莓榴果;莓榴果
0198;Colbur Berry;Burleobeere;Baie Lampou;Baya Dillo;Baccaxan;ナモのみ;마코열매;刺耳果;刺耳果
0199;Babiri Berry;Babiribeere;Baie Babiri;Baya Baribá;Baccababiri;リリバのみ;바리비열매;霹霹果;霹霹果
0200;Chilan Berry;Latchibeere;Baie Zalis;Baya Chilan;Baccacinlan;ホズのみ;카리열매;灯浆果;燈漿果
0201;Liechi Berry;Lydzibeere;Baie Lichii;Baya Lichi;Baccalici;チイラのみ;치리열매;枝荔果;枝荔果
0202;Ganlon Berry;Linganbeere;Baie Lingan;Baya Gonlan;Baccalongan;リュガのみ;용아열매;龙睛果;龍睛果
0203;Salac Berry;Salkabeere;Baie Sailak;Baya Aslac;Baccasalak;カムラのみ;캄라열매;沙鳞果;沙鱗果
0204;Petaya Berry;Tahaybeere;Baie Pitaye;Baya Yapati;Baccapitaya;ヤタピのみ;야타비열매;龙火果;龍火果
0205;Apicot Berry;Apikobeere;Baie Abriko;Baya Aricoc;Baccacocca;ズアのみ;규살열매;杏仔果;杏仔果
0206;Lansat Berry;Lansatbeere;Baie Lansat;Baya Zonlan;Baccalangsa;サンのみ;랑사열매;兰萨果;蘭薩果
0207;Starf Berry;Krambobeere;Baie Frista;Baya Arabol;Baccambola;スターのみ;스타열매;星桃果;星桃果
0208;Enigma Berry;Enigmabeere;Baie Enigma;Baya Enigma;Baccaenigma;ナゾのみ;의문열매;谜芝果;謎芝果
0209;Micle Berry;Wunfrubeere;Baie Micle;Baya Lagro;Baccaracolo;ミクルのみ;미클열매;奇秘果;奇秘果
0210;Custap Berry;Eipfelbeere;Baie Chérim;Baya Chiri;Baccacrela;イバンのみ;애슈열매;释陀果;釋陀果
0211;Jaboca Berry;Jabocabeere;Baie Jaboca;Baya Jaboca;Baccajaba;ジャポのみ;자보열매;嘉珍果;嘉珍果
0212;Rowap Berry;Roselbeere;Baie Pommo;Baya Magua;Baccaroam;レンブのみ;애터열매;雾莲果;霧蓮果
0213;Bright Powder;Blendpuder;Poudre Claire;Polvo Brillo;Luminpolvere;ひかりのこな;반짝가루;光粉;光粉
0214;White Herb;Schlohkraut;Herbe Blanche;Hierba Blanca;Erbachiara;しろいハーブ;하양허브;白色香草;白色香草
0215;Macho Brace;Machoschiene;Bracelet Macho;Brazal Firme;Crescicappa;きょうせいギプス;교정깁스;强制锻炼器;強制鍛鍊器
0216;Exp. Share;;;;;;;
0217;Quick Claw;Flinkklaue;Vive Griffe;Garra Rápida;Rapidartiglio;せんせいのツメ;선제공격손톱;先制之爪;先制之爪
0218;Soothe Bell;Sanftglocke;Grelot Zen;Cascabel Alivio;Calmanella;やすらぎのすず;평온의방울;安抚之铃;安撫之鈴
0219;Mental Herb;Mentalkraut;Herbe Mental;Hierba Mental;Mentalerba;メンタルハーブ;멘탈허브;心灵香草;心靈香草
0220;Choice Band;Wahlband;Bandeau Choix;Cinta Elección;Bendascelta;こだわりハチマキ;구애머리띠;讲究头带;講究頭帶
0221;King's Rock;King-Stein;Roche Royale;Roca del Rey;Roccia di re;おうじゃのしるし;왕의징표석;王者之证;王者之證
